City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,01/01/2015,63.13333333333333,109.4125,0.92,18.22,17.15,16.476571428571425,0.92,27.64,133.36,0.0,0.02,0.0,108.28275862068965,Moderate
Ahmedabad,01/01/2016,63.13333333333333,109.4125,3.14,41.35333333333334,27.566666666666663,16.476571428571425,3.14,52.54666666666667,111.91333333333334,0.0,0.01,0.0,108.28275862068965,Moderate
Ahmedabad,01/01/2017,63.13333333333333,109.4125,5.36,64.48666666666668,37.983333333333334,16.476571428571425,5.36,77.45333333333333,90.46666666666667,0.0,0.0,0.0,108.28275862068965,Moderate
Ahmedabad,01/01/2018,84.46,109.4125,7.58,87.62,48.4,16.476571428571425,7.58,102.36,69.02,14.48,45.6,6.33,181.08758620689653,Moderate
Ahmedabad,01/01/2019,110.71,109.4125,63.03,111.56,100.04,16.476571428571425,63.03,80.15,57.12,4.08,32.33,6.93,268.2858620689655,Poor
Ahmedabad,01/01/2020,79.57,131.62,3.78,12.64,8.99,16.476571428571425,3.78,27.7,23.67,4.21,31.42,2.52,164.39413793103446,Moderate
Ahmedabad,01/02/2015,135.99,130.54833333333335,43.48,42.08,84.57,16.476571428571425,43.48,75.23,102.7,0.4,0.04,25.87,312.5039534883721,Very Poor
Ahmedabad,01/02/2016,153.70000000000002,129.47666666666666,60.31999999999999,87.43,110.03666666666666,16.476571428571425,60.31999999999999,106.3,81.48666666666666,0.2,0.02,12.935,326.0953488372093,Very Poor
Ahmedabad,01/02/2017,171.41,128.405,77.16,132.78,135.50333333333333,16.476571428571425,77.16,137.37,60.27333333333333,0.0,0.0,0.0,339.6867441860465,Very Poor
Ahmedabad,01/02/2018,189.12,127.33333333333333,94.0,178.13,160.97,16.476571428571425,94.0,168.44,39.06,0.74,5.81,3.21,353.27813953488373,Very Poor
Ahmedabad,01/02/2019,76.87,126.26166666666667,17.85,77.35,28.34,16.476571428571425,17.85,87.94,36.28,4.05,32.3,6.93,155.17689655172416,Moderate
Ahmedabad,01/02/2020,88.79,125.19,15.2,54.23,37.8,16.476571428571425,15.2,56.67,45.39,1.82,31.52,1.04,195.86931034482762,Moderate
Ahmedabad,01/03/2015,61.12,124.87833333333333,3.58,16.81,20.92,16.476571428571425,3.58,28.44,30.48,2.69,1.58,1.32,101.40965517241378,Moderate
Ahmedabad,01/03/2016,58.89666666666667,124.56666666666666,5.223333333333334,49.94666666666666,34.96,16.476571428571425,5.223333333333334,74.67,23.44,1.345,0.79,0.66,98.13574712643678,Satisfactory
Ahmedabad,01/03/2017,56.67333333333333,124.255,6.866666666666667,83.08333333333333,49.0,16.476571428571425,6.866666666666667,120.89999999999999,16.4,0.0,0.0,0.0,94.37908045977011,Satisfactory
Ahmedabad,01/03/2018,54.45,123.94333333333333,8.51,116.22,63.04,16.476571428571425,8.51,167.13,9.36,11.97,70.75,17.01,90.62241379310345,Satisfactory
Ahmedabad,01/03/2019,42.11,123.63166666666666,14.18,84.67,28.04,16.476571428571425,14.18,49.29,47.63,4.11,32.38,6.94,69.77206896551724,Satisfactory
Ahmedabad,01/03/2020,53.06,123.32,22.34,59.64,45.76,16.476571428571425,22.34,70.8,41.7,2.85,46.56,1.13,88.27379310344828,Satisfactory
Ahmedabad,01/04/2015,96.04,117.11,3.8,20.07,23.46,16.476571428571425,3.8,62.42,46.61,7.54,13.44,1.65,218.20551724137934,Poor
Ahmedabad,01/04/2016,90.88000000000001,110.89999999999999,17.323333333333334,55.486666666666665,47.32666666666667,16.476571428571425,17.323333333333334,81.01666666666667,48.48,8.446666666666667,25.42,3.6166666666666667,,
Ahmedabad,01/04/2017,85.72,104.69,30.846666666666668,90.90333333333334,71.19333333333333,16.476571428571425,30.846666666666668,99.61333333333333,50.35,9.353333333333333,37.400000000000006,5.583333333333334,185.3889655172414,Moderate
Ahmedabad,01/04/2018,80.56,98.48,44.37,126.32,95.06,16.476571428571425,44.37,118.21,52.22,10.26,49.38,7.55,167.77379310344827,Moderate
Ahmedabad,01/04/2019,96.96,92.27000000000001,16.25,88.34,42.22,16.476571428571425,16.25,15.4,30.19,4.21,32.45,7.08,221.3462068965517,Poor
Ahmedabad,01/04/2020,24.79,86.06,4.5,21.29,13.7,16.476571428571425,4.5,22.16,36.76,3.58,15.89,1.88,41.31666666666667,Good
